artist,auth,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userAgent,userId
Daft Punk,Logged In,Micheal,M,65,Morgan,287.68608,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Robot Rock,200,1513730410284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
,Logged In,Gracelyn,F,0,Adkins,,free,"Dallas-Fort Worth-Arlington, TX",GET,Home,1505801470284,5635,,200,1513730410284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,1854
Justin Timberlake,Logged In,Abigail,F,43,Davidson,294.86975,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,SeÃÂ±orita,200,1513730420284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Shpongle,Logged In,Wyatt,M,4,Young,864.36526,free,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1498528082284,5548,The Seventh Revelation,200,1513730421284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2801
X-Press 2,Logged In,Mason,M,40,Thomas,242.59873,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Give It,200,1513730426284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
,Logged In,Gracelyn,F,1,Adkins,,free,"Dallas-Fort Worth-Arlington, TX",GET,About,1505801470284,5635,,200,1513730457284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,1854
Olivia Newton-John,Logged In,Greyson,M,4,Mckee,254.1971,paid,"Oxnard-Thousand Oaks-Ventura, CA",PUT,NextSong,1512000538284,5234,Don't Cut Me Down,200,1513730481284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2412
Joy Division,Logged In,Jaelyn,F,2,Wilson,254.09261,paid,"Lexington-Fayette, KY",PUT,NextSong,1508581556284,3146,Transmission,200,1513730484284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1955
Novos Baianos,Logged In,Ashton,M,7,Nelson,215.97995,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,511,Brasileirinho,200,1513730485284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
The Ruts,Logged In,Addison,F,2,Ramirez,185.75628,free,"Killeen-Temple, TX",PUT,NextSong,1510444125284,3601,Savage Circle,200,1513730491284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9\"",1187
Asia 2001,Logged In,Jakobi,M,5,Keller,150.30812,paid,"Kingston, NY",PUT,NextSong,1494799164284,4992,Epilogue,200,1513730514284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
Juanes / Nelly Furtado,Logged In,Andrew,M,8,Randall,238.10567,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,FotografÃÂ­a,200,1513730517284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Amy Allison,Logged In,Kelly,F,9,Newton,250.98404,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1513283366284,5566,Everybody Thinks You're An Angel,200,1513730518284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1138
Roni Size,Logged In,Mason,M,6,Hunter,563.722,paid,"Fayetteville-Springdale-Rogers, AR-MO",PUT,NextSong,1498163038284,107,Sound Advice,200,1513730529284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",108
Randy Crawford,Logged In,Joshua,M,28,Blake,270.75873,paid,"Fayetteville-Springdale-Rogers, AR-MO",PUT,NextSong,1512526653284,5807,Almaz,200,1513730555284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1949
Andres Calamaro,Logged In,Javon,F,4,Potts,122.33098,paid,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1510525561284,4239,Crucificame,200,1513730582284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1583
BjÃÂ¶rk,Logged In,Zoie,F,71,Wright,348.57751,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Undo,200,1513730592284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Michael BublÃÂ©,Logged In,Justin,M,117,Jones,576.83546,paid,"Dayton, TN",PUT,NextSong,1504706730284,1175,Save The Last Dance For Me [Ralphi Rosario Anthomic Vocal],200,1513730592284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1176
Margaret Becker,Logged In,Aimar,F,5,Hanna,285.57016,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1499966886284,5663,Look Me In The Eye,200,1513730595284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",35
Big D and The Kids Table,Logged In,Toren,M,0,Bridges,137.76934,free,"Lafayette-West Lafayette, IN",PUT,NextSong,1507290031284,159,Little Bitch,200,1513730608284,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0,160
,Logged In,Greyson,M,5,Mckee,,paid,"Oxnard-Thousand Oaks-Ventura, CA",GET,Settings,1512000538284,5234,,200,1513730615284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2412
The Radio Dept.,Logged In,Jordan,M,11,Crosby,225.4624,paid,"Columbus, GA-AL",PUT,NextSong,1508616912284,5764,This Time Around,200,1513730619284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,2892
,Logged Out,,,0,,,free,,GET,Home,,2992,,200,1513730621284,,""
,Logged Out,,,1,,,free,,PUT,Login,,2992,,307,1513730622284,,""
Caribou (formerly Dan Snaith's Manitoba),Logged In,Damont,M,1,Hardy,350.6673,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1502341283284,1208,Barnowl,200,1513730631284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
The Pierces,Logged In,Jakobi,M,6,Keller,228.62322,paid,"Kingston, NY",PUT,NextSong,1494799164284,4992,Secret,200,1513730664284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
The Killers,Logged In,Xzavier,M,2,Johnson,254.85016,free,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1513369381284,4815,Daddy's Eyes,200,1513730666284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",890
Blink-182,Logged In,Mason,M,41,Thomas,203.78077,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Mutt,200,1513730668284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
,Logged In,Annalise,F,2,Douglas,,free,"Homosassa Springs, FL",GET,Home,1493756608284,2992,,200,1513730693284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2993
Cat Stevens,Logged In,Micheal,M,66,Morgan,167.6273,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,If You Want To Sing Out_ Sing Out,200,1513730697284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Theory Of A Deadman,Logged In,Ashton,M,8,Nelson,246.54322,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,511,Santa Monica,200,1513730700284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
The Doobie Brothers,Logged In,Javon,F,5,Potts,228.70159,paid,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1510525561284,4239,Take Me In Your Arms (Rock Me A Little While),200,1513730704284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1583
Mac Lethal,Logged In,Abigail,F,44,Davidson,229.53751,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,Calm Down Baby,200,1513730714284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Usher featuring will.i.am,Logged In,Greyson,M,6,Mckee,395.72853,paid,"Oxnard-Thousand Oaks-Ventura, CA",PUT,NextSong,1512000538284,5234,OMG,200,1513730735284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2412
Queen,Logged In,Jaelyn,F,3,Wilson,218.95791,paid,"Lexington-Fayette, KY",PUT,NextSong,1508581556284,3146,Love Of My Life (1993 Digital Remaster),200,1513730738284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1955
TV On The Radio,Logged In,Annalise,F,3,Douglas,241.76281,free,"Homosassa Springs, FL",PUT,NextSong,1493756608284,2992,Stork & Owl,200,1513730750284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2993
Jay-Z,Logged In,Andrew,M,9,Randall,231.60118,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Blue Magic,200,1513730755284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
Screamin' Jay Hawkins,Logged In,Kelly,F,10,Newton,414.79791,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1513283366284,5566,Fourteen Wives,200,1513730768284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1138
Joaquin Phoenix,Logged In,Alexander,M,0,Andrade,200.61995,free,"Muskegon, MI",PUT,NextSong,1509269326284,5593,I Walk The Line,200,1513730791284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2851
David Ball,Logged In,Jordan,M,12,Crosby,275.04281,paid,"Columbus, GA-AL",PUT,NextSong,1508616912284,5764,Riding With Private Malone,200,1513730844284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,2892
Patty Griffin,Logged In,Micheal,M,67,Morgan,191.39873,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Let Him Fly,200,1513730864284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Frumpies,Logged In,Mason,M,42,Thomas,134.47791,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Fuck Kitty,200,1513730871284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Rammstein,Logged In,Aimar,F,6,Hanna,188.57751,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1499966886284,5663,Feuer Frei,200,1513730880284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",35
Aaron Neville,Logged In,Jakobi,M,7,Keller,194.16771,paid,"Kingston, NY",PUT,NextSong,1494799164284,4992,How Could I Help But Love You,200,1513730892284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
Cradle Of Filth,Logged In,Hendrik,M,0,Kelly,371.66975,free,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1502219687284,3824,Better To Reign In Hell,200,1513730914284,"\"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2123
Jarabe De Palo,Logged In,Kyle,M,0,Garcia,251.48036,free,"Phoenix-Mesa-Scottsdale, AZ",PUT,NextSong,1512845183284,5438,La chica de Ipanema,200,1513730929284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2109
Go West,Logged In,Javon,F,6,Potts,285.07383,paid,"Denver-Aurora-Lakewood, CO",PUT,NextSong,1510525561284,4239,King Of Wishful Thinking,200,1513730932284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1583
,Logged In,Javon,F,7,Potts,,paid,"Denver-Aurora-Lakewood, CO",PUT,Logout,1510525561284,4239,,307,1513730933284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1583
Neal Schon,Logged In,Zoie,F,72,Wright,643.5522,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1512172030284,2163,Eye On The World,200,1513730940284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2164
Joshua Radin,Logged In,Abigail,F,45,Davidson,202.44853,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,No Envy No Fear,200,1513730943284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Cut Copy,Logged In,Ashton,M,9,Nelson,155.53261,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,511,That Was Just A Dream,200,1513730946284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
,Logged Out,,,8,,,paid,,GET,Home,,4239,,200,1513730953284,,""
,Logged Out,,,9,,,paid,,PUT,Login,,4239,,307,1513730954284,,""
Mark Heard,Logged In,Jaelyn,F,4,Wilson,207.62077,paid,"Lexington-Fayette, KY",PUT,NextSong,1508581556284,3146,I'm In Chains,200,1513730956284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1955
,Logged In,Darrian,M,0,Smith,,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",GET,Home,1508762900284,5297,,200,1513730965284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",648
Alan Jackson,Logged In,Darrian,M,1,Smith,237.40036,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1508762900284,5297,I'll Go On Loving You,200,1513730968284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",648
,Logged In,Javon,F,10,Potts,,paid,"Denver-Aurora-Lakewood, CO",GET,Home,1510525561284,4239,,200,1513730972284,"\"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1583
The Misfits,Logged In,Damont,M,2,Hardy,154.14812,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1502341283284,1208,London Dungeon,200,1513730981284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
Radiohead,Logged In,Andrew,M,10,Randall,327.96689,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,House Of Cards,200,1513730986284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
,Logged In,Jakobi,M,8,Keller,,paid,"Kingston, NY",GET,Home,1494799164284,4992,,200,1513730990284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
Jimi Hendrix,Logged In,Annalise,F,4,Douglas,441.46893,free,"Homosassa Springs, FL",PUT,NextSong,1493756608284,2992,Message To Love,200,1513730991284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2993
Sirenia,Logged In,Alexander,M,1,Andrade,235.2322,free,"Muskegon, MI",PUT,NextSong,1509269326284,5593,The Other Side,200,1513730991284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",2851
Florence + The Machine,Logged In,Mason,M,43,Thomas,258.55955,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Cosmic Love,200,1513731005284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
Dwight Yoakam,Logged In,Christopher,M,0,Smith,239.3073,free,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509924093284,4441,You're The One,200,1513731028284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",622
,Logged In,Christopher,M,1,Smith,,free,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,Logout,1509924093284,4441,,307,1513731029284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.94 Safari/537.36\"",622
,Logged Out,,,2,,,free,,GET,Home,,4441,,200,1513731045284,,""
,Logged In,Luke,M,0,Guerrero,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1511774702284,5392,,200,1513731047284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,2349
Five Iron Frenzy,Logged In,Micheal,M,68,Morgan,236.09424,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Canada,200,1513731055284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
,Logged Out,,,3,,,free,,GET,About,,4441,,200,1513731065284,,""
Hot Chip,Logged In,Aimar,F,7,Hanna,280.0322,paid,"Atlanta-Sandy Springs-Roswell, GA",PUT,NextSong,1499966886284,5663,I Feel Better,200,1513731068284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",35
blessthefall,Logged In,Jakobi,M,9,Keller,233.92608,paid,"Kingston, NY",PUT,NextSong,1494799164284,4992,God Wears Gucci,200,1513731086284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
Pearl Jam,Logged In,Mason,M,7,Hunter,176.06485,paid,"Fayetteville-Springdale-Rogers, AR-MO",PUT,NextSong,1498163038284,107,Last Exit,200,1513731092284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",108
,Logged In,Ryan,M,0,Harper,,free,"Laurel, MS",GET,Home,1512314453284,320,,200,1513731097284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",321
Kings Of Leon,Logged In,Ashton,M,10,Nelson,231.81016,paid,"Los Angeles-Long Beach-Anaheim, CA",PUT,NextSong,1510608931284,511,Use Somebody,200,1513731101284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
,Logged Out,,,0,,,free,,PUT,Login,,925,,307,1513731101284,,""
,Logged In,Ashton,M,11,Nelson,,paid,"Los Angeles-Long Beach-Anaheim, CA",GET,Downgrade,1510608931284,511,,200,1513731108284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:32.0) Gecko/20100101 Firefox/32.0,512
AFI,Logged In,Jordan,M,13,Crosby,176.48281,paid,"Columbus, GA-AL",PUT,NextSong,1508616912284,5764,Miseria Cantare--The Beginning,200,1513731119284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,2892
Prodigy,Logged In,Greyson,M,7,Mckee,335.90812,paid,"Oxnard-Thousand Oaks-Ventura, CA",PUT,NextSong,1512000538284,5234,Breathe,200,1513731130284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,2412
Hot Chip,Logged In,Damont,M,3,Hardy,239.80363,paid,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1502341283284,1208,Keep Quiet,200,1513731135284,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1209
Owl City,Logged In,Abigail,F,46,Davidson,202.94485,paid,"Lansing-East Lansing, MI",PUT,NextSong,1513173389284,4591,The Tip Of The Iceberg,200,1513731145284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/7.0.6 Safari/537.78.2\"",226
Josh Turner,Logged In,Ryan,M,1,Harper,174.15791,free,"Laurel, MS",PUT,NextSong,1512314453284,320,Eye Candy,200,1513731150284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",321
DJ Gollum vs. Basslovers United,Logged In,Jaelyn,F,5,Wilson,208.87465,paid,"Lexington-Fayette, KY",PUT,NextSong,1508581556284,3146,Narcotic,200,1513731163284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",1955
Sara Bareilles,Logged In,Kelly,F,11,Newton,253.02159,paid,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1513283366284,5566,Love On The Rocks,200,1513731182284,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0,1138
,Logged In,Jason,M,1,Avila,,free,"New York-Newark-Jersey City, NY-NJ-PA",GET,Home,1507366707284,925,,200,1513731195284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",926
Frumpies,Logged In,Darrian,M,2,Smith,134.47791,free,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PUT,NextSong,1508762900284,5297,Fuck Kitty,200,1513731205284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",648
Sonique,Logged In,Hassan,M,0,Adams,242.9122,free,"St. Cloud, MN",PUT,NextSong,1497718263284,5817,It Feels So Good,200,1513731247284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,1952
,Logged In,Hassan,M,1,Adams,,free,"St. Cloud, MN",PUT,Logout,1497718263284,5817,,307,1513731248284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,1952
The Psycho Realm_ Sick Jacken,Logged In,Mason,M,44,Thomas,296.64608,paid,"Indianapolis-Carmel-Anderson, IN",PUT,NextSong,1487015656284,5661,Good Times,200,1513731263284,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),748
The Kooks,Logged In,Mason,M,8,Hunter,98.16771,paid,"Fayetteville-Springdale-Rogers, AR-MO",PUT,NextSong,1498163038284,107,Seaside,200,1513731268284,"\"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",108
,Logged Out,,,2,,,free,,GET,Home,,5817,,200,1513731277284,,""
,Logged Out,,,3,,,free,,PUT,Login,,5817,,307,1513731278284,,""
The Misfits,Logged In,Wyatt,M,5,Young,118.85669,free,"Portland-Vancouver-Hillsboro, OR-WA",PUT,NextSong,1498528082284,5548,Where Eagles Dare,200,1513731285284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,2801
,Logged In,Hassan,M,4,Adams,,free,"St. Cloud, MN",GET,Home,1497718263284,5817,,200,1513731289284,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:31.0) Gecko/20100101 Firefox/31.0,1952
Billy Talent,Logged In,Micheal,M,69,Morgan,190.37995,paid,"Sterling, CO",PUT,NextSong,1485051492284,5175,Voices Of Violence (Album Version),200,1513731291284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36\"",1806
Daft Punk,Logged In,Jordan,M,14,Crosby,297.89995,paid,"Columbus, GA-AL",PUT,NextSong,1508616912284,5764,Digital Love,200,1513731295284,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko,2892
Miike Snow,Logged In,Andrew,M,11,Randall,263.88853,paid,"Miami-Fort Lauderdale-West Palm Beach, FL",PUT,NextSong,1509038679284,5478,Animal,200,1513731313284,"\"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36\"",2867
La Roux,Logged In,Jakobi,M,10,Keller,185.65179,paid,"Kingston, NY",PUT,NextSong,1494799164284,4992,Quicksand,200,1513731319284,"\"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.78.2 (KHTML, like Gecko) Version/6.1.6 Safari/537.78.2\"",420
